ros-planning/moveit2,https://github.com/ros-planning/moveit2,"🤖 MoveIt! for ROS 2.0, Alpha",C++,2019年4月9日 GMT+8 下午3:49
istio/istio,https://github.com/istio/istio,"Connect, secure, control, and observe services.",Go,2019年4月10日 GMT+8 上午11:40
felixse/FluentTerminal,https://github.com/felixse/FluentTerminal,A Terminal Emulator based on UWP and web technologies.,C#,2019年4月10日 GMT+8 上午4:03
SalesforceFoundation/Cumulus,https://github.com/SalesforceFoundation/Cumulus,The current version of the Salesforce.org Nonprofit Success Pack,Unknow language,2019年4月10日 GMT+8 上午5:52
sweetalert2/sweetalert2,https://github.com/sweetalert2/sweetalert2,"A beautiful, responsive, highly customizable and accessible (WAI-ARIA) replacement for JavaScript's popup boxes. Zero dependencies.",JavaScript,2019年4月10日 GMT+8 下午12:28
LibVNC/libvncserver,https://github.com/LibVNC/libvncserver,LibVNCServer/LibVNCClient are cross-platform C libraries that allow you to easily implement VNC server or client functionality in your program.,C,2019年4月8日 GMT+8 下午3:32
NVIDIA/OpenSeq2Seq,https://github.com/NVIDIA/OpenSeq2Seq,Toolkit for efficient experimentation with various sequence-to-sequence models,Python,2019年4月10日 GMT+8 上午7:48
AzureAD/microsoft-authentication-library-for-dotnet,https://github.com/AzureAD/microsoft-authentication-library-for-dotnet,Microsoft Authentication Library (MSAL) Preview for .NET,C#,2019年4月10日 GMT+8 上午9:06
stellar/stellar-core,https://github.com/stellar/stellar-core,"stellar-core is the backbone of the Stellar network. It maintains a local copy of the ledger, communicating and staying in sync with other instances of stellar-core on the network. Optionally, stel…",C,2019年4月10日 GMT+8 上午9:47
kubernetes/kubernetes,https://github.com/kubernetes/kubernetes,Production-Grade Container Scheduling and Management,Go,2019年4月10日 GMT+8 下午1:53
tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,An Open Source Machine Learning Framework for Everyone,C++,2019年4月10日 GMT+8 下午1:10
apache/accumulo,https://github.com/apache/accumulo,Apache Accumulo,Java,2019年4月10日 GMT+8 上午10:32
rust-lang/rust,https://github.com/rust-lang/rust,Empowering everyone to build reliable and efficient software.,Rust,2019年4月10日 GMT+8 下午1:46
leebyron/react-loops,https://github.com/leebyron/react-loops,React Loops works with React Hooks as part of the React Velcro Architecture,JavaScript,2019年4月9日 GMT+8 下午1:11
drcmda/react-three-fiber,https://github.com/drcmda/react-three-fiber,👌A React-renderer for Three.js,JavaScript,2019年4月9日 GMT+8 下午1:07
Advanced-Frontend/Daily-Interview-Question,https://github.com/Advanced-Frontend/Daily-Interview-Question,工作日每天一道前端大厂面试题，祝大家天天进步，一年后会看到不一样的自己。,Unknow language,2019年4月9日 GMT+8 下午11:23
Shopify/quilt,https://github.com/Shopify/quilt,A loosely related set of packages for JavaScript / TypeScript projects at Shopify,TypeScript,2019年4月10日 GMT+8 上午9:45
tensorflow/tensor2tensor,https://github.com/tensorflow/tensor2tensor,Library of deep learning models and datasets designed to make deep learning more accessible and accelerate ML research.,Python,2019年4月10日 GMT+8 上午7:49
komeiji-satori/Dress,https://github.com/komeiji-satori/Dress,好耶 是女装,Ruby,2019年4月9日 GMT+8 下午5:01
SAP/jenkins-library,https://github.com/SAP/jenkins-library,Jenkins shared library for Continuous Delivery pipelines.,Groovy,2019年4月10日 GMT+8 上午6:05
TrustWallet/tokens,https://github.com/TrustWallet/tokens,Directory of ERC20 token images. Upload yours to get displayed in the Trust Wallet,JavaScript,2019年4月10日 GMT+8 下午1:33
Microsoft/BotBuilder,https://github.com/Microsoft/BotBuilder,Bot Builder provides the most comprehensive experience for building conversation applications,Roff,2019年4月10日 GMT+8 上午10:25
